current_task,evaluated_task,accuracy,id_accuracy
0,0,0.9658203125,0.983
1,0,0.96484375,0.977
1,1,0.94091796875,0.952
2,0,0.9619140625,0.981
2,1,0.93310546875,0.948
2,2,0.9638671875,0.958
3,0,0.955078125,0.973
3,1,0.92822265625,0.944
3,2,0.958984375,0.954
3,3,0.94091796875,0.937
4,0,0.9521484375,0.97
4,1,0.93017578125,0.937
4,2,0.9580078125,0.95
4,3,0.93994140625,0.939
4,4,0.955078125,0.942
5,0,0.93505859375,0.97
5,1,0.916015625,0.933
5,2,0.92822265625,0.933
5,3,0.9228515625,0.925
5,4,0.93408203125,0.93
5,5,0.9111328125,0.912
6,0,0.9560546875,0.973
6,1,0.9228515625,0.931
6,2,0.94287109375,0.929
6,3,0.92822265625,0.926
6,4,0.94482421875,0.935
6,5,0.9228515625,0.915
6,6,0.951171875,0.951
7,0,0.94287109375,0.962
7,1,0.921875,0.932
7,2,0.93603515625,0.923
7,3,0.93505859375,0.931
7,4,0.94189453125,0.93
7,5,0.912109375,0.915
7,6,0.9482421875,0.952
7,7,0.921875,0.913
8,0,0.923828125,0.956
8,1,0.9091796875,0.923
8,2,0.921875,0.91
8,3,0.9248046875,0.924
8,4,0.93505859375,0.931
8,5,0.90478515625,0.912
8,6,0.93505859375,0.946
8,7,0.89306640625,0.901
8,8,0.93603515625,0.934
9,0,0.93798828125,0.951
9,1,0.916015625,0.92
9,2,0.93994140625,0.913
9,3,0.9248046875,0.919
9,4,0.93896484375,0.932
9,5,0.90283203125,0.907
9,6,0.93310546875,0.939
9,7,0.9111328125,0.907
9,8,0.94091796875,0.942
9,9,0.93603515625,0.935
