task,ptask,optimal_lambda,min_mse_loss
0,2,1000000.0,0.00096770324
0,2,10000.0,6.857032e-06
1,2,10000000.0,0.00032702982
1,2,1000000.0,0.00065849477
2,4,10000000.0,0.006502125
2,4,1000000.0,0.0009835332
2,4,1000000.0,0.0006286391
2,4,1000000.0,0.0004320534
3,5,10000000.0,0.006502122
3,5,1000000.0,0.0009835334
3,5,1000000.0,0.0005881353
3,5,1000000.0,0.0005937033
3,5,1000000.0,0.00023855105
4,5,10000000.0,0.006502122
4,5,1000000.0,0.0009835324
4,5,1000000.0,0.0015925933
4,5,1000000.0,0.0007814388
4,5,1000000.0,0.00096883974
5,7,10000000.0,0.006502128
5,7,1000000.0,0.0009835324
5,7,1000000.0,0.0015925922
5,7,100000000.0,0.01167175
5,7,1000000.0,0.001214247
5,7,1000000.0,0.0008746619
5,7,10000.0,0.00010463339
6,8,10000000.0,0.0065021273
6,8,1000000.0,0.0009835329
6,8,1000000.0,0.0015925928
6,8,100000000.0,0.011671746
6,8,1000000.0,0.0012142461
6,8,1000000.0,0.0003741589
6,8,1000000.0,0.0006126992
6,8,10000.0,9.732209e-06
7,8,10000000.0,0.006502128
7,8,1000000.0,0.0009835332
7,8,1000000.0,0.0015925927
7,8,100000000.0,0.011671752
7,8,1000000.0,0.0012142473
7,8,100000000.0,0.011336328
7,8,1000000.0,0.000587934
7,8,1000000.0,0.0009396551
8,10,10000000.0,0.0065021277
8,10,1000000.0,0.0009835326
8,10,1000000.0,0.0015925915
8,10,100000000.0,0.011671754
8,10,1000000.0,0.0012142465
8,10,100000000.0,0.011336327
8,10,10000000.0,0.0066864854
8,10,1000000.0,0.0011801147
8,10,1000000.0,0.00059976795
8,10,100000.0,1.5479738e-05
9,12,10000000.0,0.0065021296
9,12,1000000.0,0.000983533
9,12,1000000.0,0.0015925921
9,12,100000000.0,0.011671756
9,12,1000000.0,0.0012142481
9,12,100000000.0,0.011336326
9,12,10000000.0,0.0066864863
9,12,1000000.0,0.0011801153
9,12,1000000.0,0.00045232568
9,12,1000000.0,0.00057133107
9,12,10000.0,0.00028654136
9,12,10000.0,8.568012e-06
