task,ptask,optimal_lambda,min_mse_loss
0,2,1000000.0,0.00035671855
0,2,100.0,0.000101095735
1,3,10000.0,0.00019839493
1,3,1000000.0,0.00045418693
1,3,100.0,0.00026657185
2,4,1000000.0,0.004237047
2,4,1000000.0,0.0007584772
2,4,1000000.0,0.00020329865
2,4,1000.0,0.00012130508
3,6,1000000.0,0.004237046
3,6,1000.0,0.0036064645
3,6,1000000.0,0.00018828905
3,6,100000.0,0.0003029435
3,6,100000.0,0.0002568528
3,6,10.0,6.1788414e-06
4,7,1000000.0,0.0042370474
4,7,1000.0,0.0036064638
4,7,100000000.0,0.0051417276
4,7,1000000.0,0.00035330685
4,7,1000000.0,0.00021706955
4,7,10000.0,0.00016426189
4,7,100.0,9.622469e-06
5,8,1000000.0,0.004237047
5,8,1000.0,0.0036064642
5,8,100000000.0,0.0051417253
5,8,1000.0,0.0019703622
5,8,1000000.0,0.0003062203
5,8,1000000.0,0.00021975403
5,8,10000.0,5.5436794e-05
5,8,10000.0,4.0385e-06
6,9,1000000.0,0.0042370465
6,9,1000.0,0.0036064629
6,9,100000000.0,0.0051417286
6,9,1000.0,0.001970362
6,9,100000000.0,0.0052328347
6,9,1000000.0,0.0002070147
6,9,100.0,0.00025516315
6,9,1000.0,0.00024972114
6,9,100.0,9.566114e-05
7,10,1000000.0,0.004237047
7,10,1000.0,0.0036064633
7,10,100000000.0,0.0051417267
7,10,1000.0,0.0019703622
7,10,100000000.0,0.0052328343
7,10,100000000.0,0.0051167007
7,10,1000000.0,0.0003219318
7,10,1000000.0,0.00043911135
7,10,1000000.0,9.963011e-05
7,10,1000.0,6.107479e-06
8,11,1000000.0,0.004237048
8,11,1000.0,0.0036064647
8,11,100000000.0,0.005141726
8,11,1000.0,0.001970362
8,11,100000000.0,0.0052328333
8,11,100000000.0,0.005116701
8,11,1000.0,0.0004613158
8,11,1000000.0,0.00028994607
8,11,1000000.0,0.0005414214
8,11,1000.0,9.9131525e-05
8,11,10000.0,2.6898753e-05
9,12,1000000.0,0.004237048
9,12,1000.0,0.0036064652
9,12,100000000.0,0.0051417258
9,12,1000.0,0.001970362
9,12,100000000.0,0.0052328357
9,12,100000000.0,0.0051167007
9,12,1000.0,0.0004613158
9,12,1000.0,0.0010724548
9,12,1000000.0,0.00034489608
9,12,1000000.0,0.00023460966
9,12,100.0,0.00027543033
9,12,100.0,2.5394653e-05
