current_task,evaluated_task,accuracy,id_accuracy
0,0,0.99169921875,1.0
1,0,0.97998046875,0.9959677419354839
1,1,0.9736328125,0.9601769911504425
2,0,0.9716796875,0.9838709677419355
2,1,0.96923828125,0.9513274336283186
2,2,0.88134765625,0.8728070175438597
3,0,0.9755859375,0.9879032258064516
3,1,0.95556640625,0.9513274336283186
3,2,0.89013671875,0.881578947368421
3,3,0.86572265625,0.865546218487395
4,0,0.9716796875,0.9838709677419355
4,1,0.94677734375,0.9424778761061947
4,2,0.8857421875,0.8859649122807017
4,3,0.86962890625,0.8739495798319328
4,4,0.953125,0.93359375
5,0,0.9716796875,0.9838709677419355
5,1,0.94677734375,0.9424778761061947
5,2,0.89892578125,0.8859649122807017
5,3,0.861328125,0.8571428571428571
5,4,0.93359375,0.93359375
5,5,0.88037109375,0.8672566371681416
6,0,0.9677734375,0.9798387096774194
6,1,0.951171875,0.9513274336283186
6,2,0.88134765625,0.8859649122807017
6,3,0.85693359375,0.865546218487395
6,4,0.9296875,0.9375
6,5,0.86279296875,0.8539823008849557
6,6,0.94482421875,0.9403669724770642
7,0,0.36279296875,0.9879032258064516
7,1,0.36279296875,0.9513274336283186
7,2,0.368408203125,0.881578947368421
7,3,0.344482421875,0.8529411764705882
7,4,0.34765625,0.94140625
7,5,0.380615234375,0.8672566371681416
7,6,0.330322265625,0.9403669724770642
7,7,0.453857421875,0.9369747899159664
8,0,0.9638671875,0.9838709677419355
8,1,0.9423828125,0.9424778761061947
8,2,0.876953125,0.8771929824561403
8,3,0.85302734375,0.8571428571428571
8,4,0.9296875,0.93359375
8,5,0.8408203125,0.8628318584070797
8,6,0.94482421875,0.9495412844036697
8,7,0.9453125,0.9369747899159664
8,8,0.9638671875,0.9317269076305221
9,0,0.9677734375,0.9879032258064516
9,1,0.93798828125,0.9380530973451328
9,2,0.8857421875,0.8771929824561403
9,3,0.8486328125,0.8613445378151261
9,4,0.92578125,0.92578125
9,5,0.8408203125,0.8672566371681416
9,6,0.93115234375,0.9357798165137615
9,7,0.9326171875,0.9285714285714286
9,8,0.9638671875,0.9477911646586346
9,9,0.95654296875,0.9523809523809523
