task,ptask,optimal_lambda,min_mse_loss
0,2,1000000.0,0.0006074733
0,2,1000.0,8.796059e-06
1,3,1000000.0,0.0010068613
1,3,1000000.0,0.0005555061
1,3,10000.0,0.0006586017
2,4,1000000.0,0.004699749
2,4,1000000.0,0.00071096764
2,4,1000000.0,0.00046325
2,4,100.0,0.00014365389
3,5,1000000.0,0.0046997475
3,5,1000.0,0.0037806926
3,5,1000000.0,0.00048773832
3,5,1000000.0,0.0007541259
3,5,1000.0,8.894156e-06
4,6,1000000.0,0.004699748
4,6,1000.0,0.0037806914
4,6,100000000.0,0.008221513
4,6,100000.0,0.0005827608
4,6,1000000.0,0.0006235512
4,6,100000.0,7.630927e-06
5,7,1000000.0,0.0046997485
5,7,1000.0,0.003780692
5,7,100000000.0,0.0082215145
5,7,1000.0,0.0054203016
5,7,1000000.0,0.00048748788
5,7,1000000.0,0.0008684517
5,7,10000.0,7.689883e-06
6,7,1000000.0,0.0046997485
6,7,1000.0,0.0037806912
6,7,100000000.0,0.008221514
6,7,1000.0,0.0054203
6,7,1000000.0,0.004565529
6,7,1000000.0,0.0005539516
6,7,1000000.0,0.0005117915
7,9,1000000.0,0.004699746
7,9,1000.0,0.00378069
7,9,100000000.0,0.0082215145
7,9,1000.0,0.005420299
7,9,1000000.0,0.004565531
7,9,1000000.0,0.0052844137
7,9,1000000.0,0.0009625165
7,9,1000000.0,0.000732297
7,9,1000000.0,5.2104773e-05
8,10,1000000.0,0.004699748
8,10,1000.0,0.0037806914
8,10,100000000.0,0.008221515
8,10,1000.0,0.0054203006
8,10,1000000.0,0.0045655305
8,10,1000000.0,0.0052844128
8,10,1000000.0,0.00096251664
8,10,1000000.0,0.00028120613
8,10,1000000.0,0.0006112065
8,10,10000.0,4.5452813e-05
9,11,1000000.0,0.0046997475
9,11,1000.0,0.003780692
9,11,100000000.0,0.008221512
9,11,1000.0,0.005420301
9,11,1000000.0,0.0045655286
9,11,1000000.0,0.0052844128
9,11,1000000.0,0.00096251664
9,11,10000000.0,0.0080837365
9,11,1000000.0,0.0005977196
9,11,1000000.0,0.0008625549
9,11,100000.0,0.000101772945
