task,ptask,optimal_lambda,min_mse_loss
0,6,1000000.0,0.0002229236
0,6,1000000.0,7.70246e-05
0,6,100000.0,1.4463287e-06
0,6,10000.0,1.6488596e-06
0,6,1000.0,1.1188697e-06
0,6,10000.0,3.0411934e-06
1,7,1000000.0,0.00026834602
1,7,1000000.0,0.0002450316
1,7,1000000.0,3.7536996e-05
1,7,1000000.0,4.1940573e-05
1,7,10000.0,6.0975767e-06
1,7,100.0,1.0536397e-05
1,7,10000.0,1.541795e-06
2,11,1000000.0,0.0005616642
2,11,1000000.0,0.0002790292
2,11,10000000.0,0.0001993212
2,11,10000.0,6.155403e-05
2,11,1000.0,1.7617876e-05
2,11,100.0,1.0536397e-05
2,11,1000.0,3.094185e-06
2,11,10000.0,1.3788127e-06
2,11,10000.0,2.2825284e-06
2,11,10000.0,3.110614e-06
2,11,1000000.0,1.2852357e-06
3,14,1000000.0,0.0005616648
3,14,1000000.0,0.0003426511
3,14,1000000.0,0.00026068665
3,14,1000000.0,0.00013813726
3,14,1000000.0,4.5422552e-05
3,14,1000000.0,5.764578e-05
3,14,1000.0,3.094185e-06
3,14,100.0,5.7734287e-06
3,14,1000.0,8.155557e-06
3,14,100.0,1.069627e-05
3,14,10000.0,4.28483e-06
3,14,10000.0,2.1787669e-06
3,14,10000.0,1.3731593e-06
3,14,100000.0,1.4116392e-06
4,18,1000000.0,0.0005616651
4,18,100000.0,0.001247367
4,18,1000000.0,0.00030065989
4,18,1000000.0,0.00020192814
4,18,1000000.0,5.1143405e-05
4,18,1000000.0,0.00013839963
4,18,1000000.0,6.991261e-05
4,18,1000000.0,0.0001093121
4,18,1000.0,8.155557e-06
4,18,100.0,1.069627e-05
4,18,10000.0,4.2848305e-06
4,18,10000.0,3.3352524e-06
4,18,1000.0,7.917009e-06
4,18,100.0,4.8284696e-06
4,18,1000.0,2.6861887e-06
4,18,10000.0,3.1492732e-06
4,18,10000.0,1.5191869e-06
4,18,10000.0,9.700686e-07
5,24,1000000.0,0.0005616645
5,24,100000.0,0.0012473608
5,24,1000000.0,0.00030629782
5,24,1000000.0,0.00024817607
5,24,1000000.0,0.00020291365
5,24,1000000.0,0.00016387021
5,24,100.0,7.222725e-05
5,24,100.0,0.00011050893
5,24,1000000.0,4.1689425e-05
5,24,100.0,1.069627e-05
5,24,10000.0,4.28483e-06
5,24,10000.0,3.3352524e-06
5,24,1000.0,7.917009e-06
5,24,100.0,4.8284696e-06
5,24,1000.0,5.7906536e-06
5,24,10000.0,4.7468793e-06
5,24,10000.0,3.3276392e-05
5,24,10000.0,2.2982879e-06
5,24,10000.0,1.3232147e-06
5,24,10000.0,9.015129e-07
5,24,1000000.0,3.6806075e-06
5,24,10000.0,1.3394794e-06
5,24,1000.0,1.2103043e-06
5,24,10000.0,1.311942e-06
6,30,1000000.0,0.00056166266
6,30,100000.0,0.0012473657
6,30,100000000.0,0.003053019
6,30,1000000.0,0.00022888761
6,30,1000000.0,0.00034528822
6,30,1000000.0,0.00021096201
6,30,1000000.0,3.1415373e-05
6,30,100.0,0.00011050895
6,30,1000.0,0.00016309669
6,30,100.0,1.069627e-05
6,30,10000.0,4.28483e-06
6,30,10000.0,3.3352524e-06
6,30,1000.0,7.917009e-06
6,30,100.0,4.8284696e-06
6,30,1000.0,5.7906527e-06
6,30,10000.0,4.7468793e-06
6,30,10000.0,3.3276396e-05
6,30,10000.0,2.298288e-06
6,30,100.0,2.3496961e-05
6,30,10000.0,9.7211805e-06
6,30,1000.0,1.7816865e-05
6,30,1000.0,1.2124347e-05
6,30,1000.0,1.0003307e-05
6,30,1000.0,6.4111186e-06
6,30,10000.0,2.336329e-06
6,30,10000.0,1.1837727e-06
6,30,1000000.0,3.6378774e-06
6,30,100000.0,1.9117772e-06
6,30,1000.0,1.8978718e-06
6,30,100000.0,8.8759117e-07
7,37,1000000.0,0.00056166487
7,37,100000.0,0.001247364
7,37,100000000.0,0.0030530212
7,37,10000000.0,0.0026029272
7,37,1000000.0,0.00023267715
7,37,1000000.0,0.0004253197
7,37,1000000.0,9.5433876e-05
7,37,1000000.0,2.837899e-05
7,37,100000.0,1.818346e-05
7,37,100.0,1.0696271e-05
7,37,10000.0,4.28483e-06
7,37,10000.0,3.3352524e-06
7,37,1000.0,7.917008e-06
7,37,100.0,4.8284696e-06
7,37,1000.0,5.7906527e-06
7,37,10000.0,4.7468793e-06
7,37,10000.0,3.3276392e-05
7,37,10000.0,2.2982879e-06
7,37,100.0,2.3496961e-05
7,37,10000.0,9.7211805e-06
7,37,1000.0,1.7816865e-05
7,37,1000.0,1.21243465e-05
7,37,1000.0,1.0003308e-05
7,37,1000.0,6.411119e-06
7,37,1000.0,1.2342683e-05
7,37,1000000.0,2.6837229e-06
7,37,1000.0,4.9734812e-05
7,37,100.0,7.3743163e-06
7,37,1000.0,5.0948074e-06
7,37,1000.0,2.6910955e-06
7,37,100000.0,2.4696014e-06
7,37,10000.0,4.905903e-06
7,37,10000.0,1.6373704e-06
7,37,1000.0,2.7407282e-06
7,37,10000.0,4.684192e-06
7,37,10000.0,1.4023523e-06
7,37,10000.0,1.5228343e-06
8,38,1000000.0,0.0005616627
8,38,100000.0,0.0012473658
8,38,100000000.0,0.0030530228
8,38,1000000.0,0.0010016259
8,38,1000000.0,0.00039874323
8,38,1000000.0,0.00020962798
8,38,1000000.0,6.858135e-05
8,38,1000000.0,5.177532e-05
8,38,10000.0,2.7041455e-05
8,38,1000000.0,3.8496994e-05
8,38,100000.0,3.224444e-05
8,38,10000.0,3.3352521e-06
8,38,1000.0,7.917008e-06
8,38,100.0,4.8284696e-06
8,38,1000.0,5.7906527e-06
8,38,10000.0,4.7468798e-06
8,38,10000.0,3.3276396e-05
8,38,10000.0,2.2982879e-06
8,38,100.0,2.3496961e-05
8,38,10000.0,9.7211805e-06
8,38,1000.0,1.7816865e-05
8,38,1000.0,1.2124347e-05
8,38,1000.0,1.0003308e-05
8,38,1000000.0,6.456629e-05
8,38,1000.0,1.2342683e-05
8,38,1000000.0,2.6837229e-06
8,38,1000.0,4.9734816e-05
8,38,100.0,7.374316e-06
8,38,1000.0,5.0948074e-06
8,38,1000.0,2.6910955e-06
8,38,1000.0,3.7301024e-06
8,38,10000.0,4.2169054e-06
8,38,1000.0,5.1875454e-06
8,38,1000.0,4.3278783e-06
8,38,100.0,3.6375752e-06
8,38,1000.0,9.258424e-06
8,38,1000.0,7.945396e-06
8,38,1000.0,2.7411454e-06
9,40,1000000.0,0.00056166446
9,40,100000.0,0.0012473676
9,40,100000000.0,0.0030530177
9,40,1000000.0,0.0010016293
9,40,1000000.0,0.0008852078
9,40,1000000.0,0.00027962227
9,40,1000000.0,0.0001589995
9,40,1000000.0,9.405756e-05
9,40,1000000.0,0.00012992018
9,40,1000000.0,2.6606473e-05
9,40,1000000.0,8.87217e-05
9,40,10000.0,3.6933598e-05
9,40,1000.0,7.917009e-06
9,40,100.0,4.82847e-06
9,40,1000.0,5.7906527e-06
9,40,10000.0,4.7468793e-06
9,40,10000.0,3.3276396e-05
9,40,10000.0,2.298288e-06
9,40,100.0,2.3496963e-05
9,40,10000.0,9.7211805e-06
9,40,1000.0,1.7816865e-05
9,40,1000.0,1.2124347e-05
9,40,1000.0,1.0003307e-05
9,40,1000.0,0.00034135603
9,40,1000.0,1.23426835e-05
9,40,1000000.0,2.683723e-06
9,40,1000.0,4.9734816e-05
9,40,100.0,7.374316e-06
9,40,1000.0,5.0948083e-06
9,40,1000.0,2.6910952e-06
9,40,1000.0,3.7301018e-06
9,40,10000.0,4.2169054e-06
9,40,1000.0,5.1875454e-06
9,40,1000.0,4.327878e-06
9,40,100.0,3.637575e-06
9,40,1000.0,9.258424e-06
9,40,1000.0,7.945396e-06
9,40,1000.0,4.6203145e-06
9,40,10000.0,7.824411e-06
9,40,10000.0,2.1479918e-06
